# ['w_index', 'synchrony', 'N', 'L_left', 'L_right', 'largest eigenvalue', 'alpha_chain', 'alpha_chain_hat', 'alpha_conv', 'alpha_conv_hat', 'alpha_div', 'alpha_div_hat', 'alpha_recip', 'alpha_recip_hat', 'p_AVG', 'p_hat']
2.000000000000000000e+02,4.160822790234318447e+00,3.000000000000000000e+03,9.000000000000000000e+01,2.000000000000000000e+01,4.789568210535048109e+01,-1.001839205492137119e-01,-5.520808414151323618e-02,6.796422633951688941e-02,1.135236014552882811e-01,1.783260433173397552e-01,2.168592505995026176e-01,2.842896770555010666e-01,7.206133338760915663e+00,1.666666666666666644e-02,1.687162387462487478e-02
2.010000000000000000e+02,2.776129222620063342e+00,3.000000000000000000e+03,9.000000000000000000e+01,2.000000000000000000e+01,5.938292306289993405e+01,1.667842623740050101e-01,1.969381994263978974e-01,2.243642468157574232e-01,2.588065856086023686e-01,1.833178185869828725e-01,2.216599980258260327e-01,3.417137979612698551e-02,9.221356807266943179e+00,1.666666666666666644e-02,1.673279982216294148e-02
2.020000000000000000e+02,3.673467987037944305e+00,3.000000000000000000e+03,9.000000000000000000e+01,2.000000000000000000e+01,5.064747495421788415e+01,-1.315751388049124504e-02,3.040068495229575340e-02,6.955923153551071825e-02,1.182758083299979557e-01,2.973130641453889944e-01,3.525969293395800896e-01,2.430071195396099892e-01,7.956558044325491963e+00,1.666666666666666644e-02,1.637145715238412860e-02
2.030000000000000000e+02,3.855158593059881955e+00,3.000000000000000000e+03,9.000000000000000000e+01,2.000000000000000000e+01,5.417241211203974416e+01,3.774306387199694024e-02,7.328189658425254827e-02,5.668152879750387729e-02,9.974060390369166029e-02,1.351820649483038705e-01,1.684084967631416241e-01,2.543700180960326018e-01,8.520147924450364840e+00,1.666666666666666644e-02,1.684350339001889491e-02
2.040000000000000000e+02,3.471321513945697657e+00,3.000000000000000000e+03,9.000000000000000000e+01,2.000000000000000000e+01,5.321768634610111093e+01,2.606609974955403919e-02,6.497667228629655511e-02,2.307236744919817228e-01,2.646806244111494788e-01,1.157527934118052770e-01,1.570929069225985852e-01,2.679670221869781543e-01,8.527608974149272214e+00,1.666666666666666644e-02,1.665788596198733082e-02
2.050000000000000000e+02,3.250012364636894802e+00,3.000000000000000000e+03,9.000000000000000000e+01,2.000000000000000000e+01,5.929736851097064942e+01,1.743122776922041428e-01,1.999057554429148897e-01,1.682826324842106591e-01,1.989301986359599539e-01,2.971036392260528736e-01,3.400782025005073539e-01,2.880782116009179550e-01,9.804323158303276387e+00,1.666666666666666644e-02,1.666055351783927996e-02
2.060000000000000000e+02,3.990822484233938816e+00,3.000000000000000000e+03,9.000000000000000000e+01,2.000000000000000000e+01,5.268029826393488690e+01,7.195443574607995885e-03,5.345602648586345040e-02,1.454673505377082621e-01,2.035568378132406320e-01,1.371789406454469902e-02,6.216270429913839379e-02,1.281972728647913784e-01,7.809844093702203338e+00,1.666666666666666644e-02,1.667678114927197836e-02
2.070000000000000000e+02,3.173443106710983397e+00,3.000000000000000000e+03,9.000000000000000000e+01,2.000000000000000000e+01,4.558917431665721409e+01,-1.466792847347525575e-01,-9.089339734635470958e-02,1.098067711928065460e-01,1.545216857495663731e-01,1.341942852567603039e-01,1.780352877126571975e-01,1.508894581679769697e-01,6.581832141190274932e+00,1.666666666666666644e-02,1.675602978770701287e-02
2.080000000000000000e+02,1.472227924014420486e+00,3.000000000000000000e+03,9.000000000000000000e+01,2.000000000000000000e+01,4.479974680454689206e+01,-1.622485614536899601e-01,-1.090821485815144376e-01,1.767580748643062249e-01,2.146832397422662186e-01,2.399195983552210032e-01,2.900503915075713923e-01,6.680176896435020828e-02,6.108498605270685999e+00,1.666666666666666644e-02,1.684150272312993218e-02
2.090000000000000000e+02,3.884231534666696017e+00,3.000000000000000000e+03,9.000000000000000000e+01,2.000000000000000000e+01,5.421487959382087496e+01,3.875673528800266388e-02,7.632845876616434211e-02,1.014350279736955379e-01,1.512391844213563097e-01,2.456255501153671028e-01,2.909646658378965967e-01,2.529851471032273924e-01,8.459596809377730509e+00,1.666666666666666644e-02,1.680248971879515565e-02
