# ['w_index', 'synchrony', 'N', 'L_left', 'L_right', 'largest eigenvalue', 'alpha_chain', 'alpha_chain_hat', 'alpha_conv', 'alpha_conv_hat', 'alpha_div', 'alpha_div_hat', 'alpha_recip', 'alpha_recip_hat', 'p_AVG', 'p_hat']
0.000000000000000000e+00,3.219345550834958214e+00,3.000000000000000000e+03,9.000000000000000000e+01,9.000000000000000000e+01,5.289383404309702286e+01,-1.858177190217225050e-02,2.608425700340033515e-02,2.145568099117258487e-01,2.731904290643838440e-01,1.808290128214931625e-01,2.350271804275547716e-01,1.646440511781974148e-01,7.949769387033096990e+00,1.666666666666666644e-02,1.696687784817161107e-02
1.000000000000000000e+00,4.436111416972956967e+00,3.000000000000000000e+03,9.000000000000000000e+01,9.000000000000000000e+01,5.584682196707004920e+01,7.965365027773158024e-02,1.243235122761234823e-01,1.616450202010070725e-01,2.325172045083216954e-01,1.257583543209884469e-01,1.839218638959776442e-01,1.190302422692009754e-01,8.990733994819017028e+00,1.666666666666666644e-02,1.651494942758697376e-02
2.000000000000000000e+00,4.523917920586644215e+00,3.000000000000000000e+03,9.000000000000000000e+01,9.000000000000000000e+01,4.731552360793926937e+01,-9.527432516720624189e-02,-5.043395455666743743e-02,7.777869548367399855e-03,6.091748985898703950e-02,1.648987433636127375e-01,2.183947876902123664e-01,1.307984706426011112e-01,6.991795114938681444e+00,1.666666666666666644e-02,1.655496276536623165e-02
3.000000000000000000e+00,3.496283625906057679e+00,3.000000000000000000e+03,9.000000000000000000e+01,9.000000000000000000e+01,5.163027582503837465e+01,-4.242067636163593392e-02,3.482520363616625758e-03,2.124443467854314482e-01,2.559565776711725249e-01,8.727142167388329819e-02,1.370659383028616229e-01,1.652393707723726346e-01,7.652791708401696980e+00,1.666666666666666644e-02,1.709103034344781544e-02
4.000000000000000000e+00,4.066321220043091600e+00,3.000000000000000000e+03,9.000000000000000000e+01,9.000000000000000000e+01,5.595426927051129695e+01,1.003711955720552051e-01,1.390962738267069732e-01,1.641696747527166822e-01,2.193606059612012160e-01,2.918053079894653012e-01,3.553909198598221852e-01,2.901089517041030019e-01,9.462152262451210660e+00,1.666666666666666644e-02,1.619706568856285264e-02
5.000000000000000000e+00,2.608884957907243063e+00,3.000000000000000000e+03,9.000000000000000000e+01,9.000000000000000000e+01,5.112272622329827954e+01,-3.710740848893978594e-02,5.330793794135146868e-03,1.835231588707937067e-01,2.339892150396805093e-01,2.297723569440946467e-01,2.867474814659842774e-01,1.465233566384487318e-01,7.630618765889769506e+00,1.666666666666666644e-02,1.669856618872957513e-02
6.000000000000000000e+00,9.042165446195545853e-01,3.000000000000000000e+03,9.000000000000000000e+01,9.000000000000000000e+01,4.674301900116685715e+01,-1.068348000103420126e-01,-5.927510039886785265e-02,1.785156192618720661e-01,2.382285571199582730e-01,1.589452086578464762e-01,2.212861266752383926e-01,3.229700398079038415e-02,6.725299201652526371e+00,1.666666666666666644e-02,1.636489941091474887e-02
7.000000000000000000e+00,3.175112163881900429e+00,3.000000000000000000e+03,9.000000000000000000e+01,9.000000000000000000e+01,5.720026463480447632e+01,1.064256244816588204e-01,1.481749756771078008e-01,2.339756376720343867e-01,2.845464841458626992e-01,1.315227694322680385e-01,1.835275328489693880e-01,2.289248681218715095e-02,9.062963924970953045e+00,1.666666666666666644e-02,1.635322885406246401e-02
8.000000000000000000e+00,8.799054179037075762e-01,3.000000000000000000e+03,9.000000000000000000e+01,9.000000000000000000e+01,5.066826801287537307e+01,-2.840101591108074031e-02,1.315370837745466481e-02,2.905621988462795957e-01,3.611065367210291033e-01,2.607583620641759636e-01,3.231775528221383365e-01,2.620288208375448624e-01,7.925649749900536278e+00,1.666666666666666644e-02,1.624797154607091412e-02
9.000000000000000000e+00,4.966774001363322810e+00,3.000000000000000000e+03,9.000000000000000000e+01,9.000000000000000000e+01,5.117925789450163165e+01,9.318708985864287975e-04,4.016882427695911417e-02,1.162451274969594772e-02,6.624851380569518611e-02,2.097322174196283029e-01,2.595534399167829243e-01,2.852892094880149498e-01,8.315193762930530141e+00,1.666666666666666644e-02,1.626953428920751427e-02
